ESTADO,SCIG,AGE,ED,PERFEM,PRICE
1,89.8,27,41.3,51.7,42.7
2,121.3,22.9,66.7,45.7,41.8
3,115.2,26.3,58.1,50.8,38.5
4,100.3,29.1,39.9,51.5,38.8
5,123,28.1,62.6,50.8,39.7
6,124.8,26.2,63.9,50.7,31.1
7,120,29.1,56,51.5,45.5
8,155,26.8,54.6,51.3,41.3
9,200.4,28.4,55.2,53.5,32.6
10,123.6,32.3,52.6,51.8,43.8
11,109.9,25.9,40.6,51.4,35.8
12,82.1,25,61.9,48,36.7
13,102.4,26.4,59.5,50.1,33.6
14,124.8,28.6,52.6,51.5,41.4
15,134.6,27.2,52.9,51.3,32.2
16,108.5,28.8,59,51.4,38.5
17,114,28.7,59.9,51,38.9
18,155.8,27.5,38.5,50.9,30.1
19,115.9,24.8,42.2,51.4,39.3
20,128.5,28.6,54.7,51.3,38.8
21,123.5,27.1,52.3,51.1,34.2
22,124.3,29,58.5,52.2,41
23,128.6,26.3,52.8,51,39.2
24,104.3,26.8,57.6,51,40.1
25,93.4,25.1,41,51.6,37.5
26,121.3,29.4,48.8,51.8,36.8
27,111.2,27.1,59.2,50,34.7
28,108.1,28.6,59.3,51.2,34.7
29,189.5,27.8,65.2,49.3,44
30,265.7,28,57.6,51.1,34.1
31,120.7,30.1,52.5,51.6,41.7
32,90,23.9,55.2,50.7,41.7
33,119,30.3,52.7,52.2,41.7
34,172.4,26.5,38.5,51,29.4
35,93.8,26.4,50.3,49.5,38.9
36,121.6,27.7,53.2,51.5,38.1
37,108.4,29.4,51.6,51.3,39.8
38,157,29,60,51,29
39,107.3,30.7,50.2,52,44.7
40,123.9,29.2,46.4,50.9,40.2
41,103.6,24.8,37.8,50.9,34.3
42,92.7,27.4,53.3,50.3,38.5
43,99.8,28.1,41.8,51.6,41.6
44,106.4,26.4,47.4,51,42
45,65.5,23.1,67.3,50.6,36.6
46,122.6,26.8,57.1,51.1,39.5
47,124.3,26.8,47.8,50.6,30.2
48,96.7,27.5,63.5,50.3,40.3
49,114.5,30,41.6,51.6,41.6
50,106.4,27.2,54.5,50.9,40.2
51,132.2,27.2,62.9,50,34.4
52,124.3,26.8,47.8,50.6,30.2
53,96.7,27.5,63.5,50.3,40.3
54,114.5,30,41.6,51.6,41.6
55,106.4,27.2,54.5,50.9,40.2
56,132.2,27.2,62.9,50,34.4
